Deák Krisztina,filmrendező
Forgács Péter,filmrendező,médiaművész
Gulyás Gyula,filmrendező
Gulyás János Péter,filmrendező,operatőr
Kisfaludy András,filmrendező,producer
Kerekes Gábor,fotóművész
Medvigy Gábor,operatőr
Baricz Katalin,fotóművész
Szilágyi Lenke,fotóművész
Csomay Zsófia,belsőépítész
Selmeczi György,zeneszerző,karmester
Hauser Beáta,textilművész
Kókay Krisztina,textilművész
Rónai Éva,textilművész
Sárkány Győző,grafikusművész
Gáyor Tibor,festőművész
Gyémánt László,festőművész
Barta Dóra,táncművész
Goda Gábor,koreográfus,rendező
Kalmár Tibor,rendező
Mohácsi János,rendező
Bajcsay Mária,színművész
Kentaur (Erkel László),díszlet- és jelmeztervező
Tordai Hajnal,jelmeztervező
Császár Angéla,színésznő
Gyöngyössy Katalin,színésznő
Ráckevei Anna,színésznő
Mácsai Pál,színész,rendező
Bogdán Zsolt,színész
Csikos Sándor,színész
Csuja Imre,színművész
Csurka László,színművész,rendező
Fekete Ernő,színművész
Harsányi Gábor,színművész
Hirtling István,színművész
Kerekes Éva,színművész
Körtvélyessy Zsolt,színművész
Lorán Lenke,színművész
Meszléry Judit,színművész
Mihályi Győző,színművész
Nagy Anna,színművész
Nemcsák Károly,színész
Sunyovszky Szilvia,színművész
Szarvas József,színész
Szervét Tibor,színész
Szűcs Nelli,színművész
Takács Katalin,színművész
Tordai Teri,színművész
Tóth Ildikó,színművész
Trill Zsolt,színművész
Venczel Vera,színművész
Voith Ági,színművész
Korcsmáros György,színművész,rendező
Kalocsai Zsuzsa,színművész,énekes
Halasi Imre,rendező
Keller András,hegedűművész
Gál Tamás,karmester
Kesselyák Gergely,karmester
Kovács László,karmester
Dresch Mihály,szaxofonművész
Geiger György,trombitaművész
Szecsődi Ferenc,hegedűművész
Erdei Péter,karmester
Thész Gabriella,karnagy
Pitti Katalin,operaénekes
Virágh András,orgonaművész,karnagy
Tillai Aurél Ede,zeneszerző,karnagy
László Attila,zeneszerző,gitárművész
Bazsinka Zsuzsanna,magánénekes
Galántai György,képzőművész
Györfi Sándor,szobrászművész,éremművész
Lugossy Mária,szobrászművész,éremművész
Molnár Kálmán,tervezőgrafikus
Stefanovits Péter,festőművész,grafikusművész
Roskó Gábor,festőművész,grafikus
Haász István,grafikusművész,festőművész
Szikora Tamás,festőművész
Jávori Ferenc,zeneszerző
id. Nagy Zoltán,balettmester
Kiss János,balettművész
Popova Aleszja,balettművész
Solymosi Tamás,balettművész
Both András,díszlet- és jelmeztervező
Radnóti Zsuzsa,dramaturg
Szegő György,építész,látvány- és díszlettervező
Ef Zámbó István,festőművész
Földi Péter,festőművész
Kárpáti Tamás,festőművész
Kisléghi Nagy Ádám,festőművész
Pál Lajos,festőművész,költő
Pinczehelyi Sándor,festőművész
Ujházi Péter,festőművész
Záborszky Gábor,festőművész
Almási Tamás,filmrendező
Enyedi Ildikó,filmrendező
Janisch Attila,filmrendező
Molnár György,filmrendező
Szász János,filmrendező
Benkő Imre,fotóművész
Szebeni András,fotóművész
Banga Ferenc,grafikus
Orosz István,grafikus,filmrendező
Ligeti András,hegedűművész,karmester
Fábry Sándor,humorista,előadóművész
Szombathy Gyula,színművész
Párkai István,karnagy
Péreli Zsuzsa,kárpit- és gobelinművész
Kovács Péter,képzőművész
Lovas Ilona,képzőművész
Türk Péter,képzőművész
Roboz Ágnes,koreográfus,táncpedagógus,festő
L. Kecskés András,lantművész
Frankó Tünde,magánénekes
Végh Krisztina,magántáncos
Bándi János,operaénekes
Berkes János,operaénekes
Kertesi Ingrid,operaénekes
Lukács Gyöngyi,operaénekes
Sümegi Eszter,operaénekes
Kovalik Balázs,operaénekes
Máthé Tibor,operatőr
Zádori Ferenc,operatőr
Málnay Levente,rendező
Meczner János,rendező
Tompa Gábor,rendező,költő
Szirtes Ági,színésznő
Bács Ferenc,színművész
Beregi Péter,színművész
Börcsök Enikő,színművész
Bubik István,színművész
Csűrös Karola,színművész
Dózsa László,színművész
Gálffi László,színművész
Heller Tamás,színművész
Kállai Bori,színművész
Kovács Lajos,színművész
Kubik Anna,színművész
Máté Gábor,színművész,rendező
Nagy-Kálózy Eszter,színművész
Oszvald Marika,színművész
Pap Vera,színművész
Pásztor Erzsi,színművész
Piros Ildikó,színművész
Senkálszky Endre,színművész,rendező
Szacsvay László,színművész
Gaál Tamás,szobrászművész
Bozsik Yvette,táncművész
Juronics Tamás,táncművész,koreográfus
Ladányi Andrea,táncművész
Medveczky Ilona,táncművész
Nagy József,táncművész,koreográfus
Román Sándor,táncművész
Zarnóczai Gizella,táncművész,balettmester,balettművész
Zsuráfszky Zoltán,táncművész,koreográfus
Makláry László,zeneigazgató,karmester
Dés László,zenész
Kathy-Horváth Lajos,zeneszerző,előadóművész
Sáry László,zeneszerző
Szakcsi Lakatos Béla,zongaraművész,zeneszerző
Bátori Éva,operaénekes
Fokanov Anatolij,operaénekes
Harangozó Gyula,koreográfus
